안타깝다;tiếc nuối
결론을 짓다;
눈에 선하다;
미식가;
웬만하다;vừa phải, tương đối
도난당하다;bị trộm
넉넉하다;
인솔하다;chỉ đạo, hướng dãn
수련하다 = 연마하다;
조이다;
제창하다;hát đồng thanh
의욕적;tính đam mê
여전히;
중추;
보장하다;
익사하다;chết đuối
구사하다 = 능하다 = 성숙하다 = 능숙하다 = 능란하다 = 숙지하다;
내장;nội tạng
고강도;cường độ cao
관절;khớp xương
관절염;đau xương
결손;sự thiếu hụt
막막;bát ngát
정맥;
동공 = 홍채;
가성비;
임박하다 = 접근하다 = 닥치다 = 다가가다 = 육박하다 = 다가서다;
으쓱하다;
역류하다;
해안 ~ 연안;
담보대출;
치부하다 = 치다 = 간주하다 = 여기다 = 삼다 = 섬기다;
그다지 + (부정) = 그리 + (부정) = 별로 + (부정);
퇴적물;
유추하다;
허물다;đạp đổ, xoá bỏ
추첨하다;rút thăm
암울하다;
단절하다;
사별;
불모지;đất cằn, nơi trì trẹ
흐지부지되는 일;việc bỏ dỡ
간과하다;bỏ qua
족제비;con chồn
판사;thẩm phán
쇠똥구리;con bọ hung
무지하다;dốt nát
고발하다;tố cáo
치솟다;vọt lên
단축하다 ~ 위축하다 ~ 삭감하다;
탈수;sự vắt khô
미달하다;chưa đạt
반지름;
지름;
바람개비;chong chóng
기다;trườn, bò, lê
허사;viẹc vô ích
몰두하다;
산만하다;
분해 효소;
돋우다;nâng lên, làm phát sinh
교활하다;giảo hoạt, gian sảo
허탈하다;
해달;con rái cá
따습다;
초라하다;tiều tuỵ
후원하다 ~ 뒷받침하다;
동참하다;cùng tham gia
시승하다;đi thử
모터쇼;motor show
박살내다;đánh chết
파과기;tuổi dậy thì
할당하다 ~ 배정하다;
승화;
도래하다;dẫn đến
광택;sự bóng láng
거대하다;
무질서하다;
제자리걸음을 하다;
주식 시장;
잇따르다;
체감하다;
구축하다;xây dựng
서먹하다;ngượng nghịu
민망하다;ngại ngùng
우련하다;lờ mờ mờ mịt
괘씸하다;phẫn nộ
경악하다;kinh ngạc
무안하다;mất mặt
안쓰럽다;day dứt
관통하다;đâm qua, xuyên thủng
도약하다;nhảy lên, nhảy vọt
맞춤형;
무난하다;dễ dàng
단일성;
유난히;một cách khác thường
육박하다;đến gần
수하물;đồ sách tay
어설프다;vụng về
선행하다;
청취;sự lắng nghe
난만촌;
복구하다;phục hồi
유유히;một cách thong thả
겁을 먹다;
영예;danh dự
인색하다 = 구두쇠;
비극;
염치없다;vô liêm sỉ
초청하다;mời gọi
연대하다;kết nối
발언;
엄중하다;nghiêm ngặt
고점;
빼앗기다;
칼럼;cột, mục
인도하다;dẫn dắt, chuyển giao
정직하다;chính trực
수송하다;운반하다
몸에 배다;thói quen ăn vào ng
모욕죄;tội lăng mạ
모욕하다;lăng mạ
우천;trời mừa
화폐;đồng tiền, tiền tệ
구제하다;cứu tế, cứu trợ
측우기;
선교하다;truyền giáo
유교;nho giáo
삭막한 (명사);
공모하다;tuyển chọn không khai
직책;
조정자;
어지간하다;tương đối
삭막하다;hoang vắng
구급차;xe cấp cứu
함축적;mang tính hàm súc
소박하다;chất phát
획기적;đánh dấu bước ngoặc
일조하다;hỗ trợ, đóng góp
비약적;tính giản lượt
예리하다;sắc bén
자발적;
단락;
자기 성찰;
고찰하다;
염두에 두다;lưu tâm
필수불가결하다;
소멸되다;bị tiêu diệt
고결하다;thanh cao
선입견;sự thành kiến
가치관;
원동력;
막대하다;
양면성;tính 2 mặt
핵심 가치;
전환점;bước ngoặt
수당;tiền thưởng
창구;quầy
녹다;
얼음덩이;nc đá
흑인;
부회장;phó chủ tịch
삼키다;nuốt, ăn cướp
요새;dạo này
이상적;tính lý tưởng
일쑤;
일체;toàn bộ
잦다;thường xuyên
공해;
기대다;
대다소;
밉다;ghéc
여럿;nhiều điều
마주치다;va phải
막상;hoá ra, thực ra
오로지;chỉ
장난;việc nô đùa, nói đùa,trêu
밤샘;
감독하다;quản lý
미비하다;chưa đầy đủ
분류하다;
정화하다;thanh lọc
내면의 평온;
이와 더불어;
헤쳐 나가다;
우선순위;
수양하다;nuôi dưỡng
파도;
슬기롭다;khôn ngoan
탈의실;
영광;sự vinh dự
다만;chỉ, duy
떠나다;rời, rời xa
조성하다;
붉다;
푸르다;
한껏;
수확하다;thu hoạch
이륵고 = 드디어;
취지;
궤도;quỹ đạo
무릅쓰다;
반편;
번화하다;sầm uất, nhộn nhịp
구독;
캡슐;
폐기물;đồ phế thải
품절;sự hết hàng
대대적;mang tính lớn lap
호칭하다;
개정하다;
선박;tàu thuỷ
엔진;máy
지붕;
좌우;trái phải
대칭;
엄숙하다;nghiêm túc
맹장;ruộc thừa
충수염;viêm ruộc thừa
쓸모없다;
염증;viêm nhiễm
비축하다;tích dữ, dự trữ
행위;
견해;quan điểm
스치다;sượt qua, lướt qua
경건하다;
수호하다;có qh hữu nghị
재판;
갈탄;than non
고차원;tiêu chuẩn cao
속출하다;liên tục xuất hiện
본연;tự nhiên
멸종 = 절종;
서투르다;lóng ngóng
명상;sự thiền
참신하다;mới lạ
넘치다;tràn , vược mức
소속감;cảm giác gắn bó
현황;hiện trạng
풍력;sức gió
제재;sự chế tài, hạn chế
석탑;tháp đá
수송;sự vận chuẩn
국토;lãnh thổ
지리적;tính địa lí
정중앙;ngay giữa
너비;bề rộng
덜하다;
웅장하다;hùng tráng
우아하다;đẹp nhã nhặn
엿보다;nhìn lén
유물;
낙후되다;
마다하다;từ chối·
영유;chiếm hữu
인적;
화첩;album
굽이치다;chảy quanh
병풍;
암벽;vách đá
찌르다;đâm, gài, đặt
번갈다;thay phiên
탁월하다 = 우수하다;
유창하다 = 수월하다;
유혹;sự cám dỗ
어기다;
획득하다;đạt dc
횡단보도;dg dành cho ng đi bộ
올챙이;con nòng nọc
헤엄치다;bơi, lặn ngụp
연도;năm
다정하다;
은은하다;lờ mờ
달빛;
추정하다;suy diễn
초승달;
벌집;tổ ong
폐쇄적;tính khép kín
여력;sức mạnh có thừa
기차다;sững sờ
명목;danh nghĩa
찾아가다;
동산;tài sản lưu động
슬며시;một cách lén lút
주섬주섬;lần lượt từng cái
사치스럽다;xa xỉ
난리;loạn lạc
일교차;
웰빙 열풍;
단지;chỉ
별것;sự đặc biệtk
두드리다;gõ , đánh
잠재력;tiềm năng
기운;khí lực
쇠퇴하다;suy thoái
번아웃;
증후군;hội chứng
동반하다;đồng hành, đi kèm
노선;
우두커니;một cách lỡ đễnh
참다못하다;k thể chịu hơn nx
손질하다;chăm chút
큰맘;tính hào phóng
아깝다;
부각하다;tô điểm, làm nổi bật
다루다;làm, xử lý
지겹다;chán
지겨워 죽겠다;
무서워 죽겠다;
열등감;sự mặc cảm
종종;thỉnh thoảng
부서;bộ phận
비난하다;비판하다
밟다;dẫm, đạp·
네모나다;hinh vuong, hinh tu giac
지니다;giu gin, ap u , co , mang
모순;mau thuan
뚫다;tháo gỡ, đục, thông nhau, khoang
너르럽다;rong luong
안목;sự sáng suốt
뭉클하다;nghen ngao
드나들다;di ra di vao
과신하다;quá tin
부패하다;thối rửa
소심하다;can than
저지르다;gay ra, tao ra, lam ra 
두르다;mang, quàng
헤집다;đào bới 
때리다;đánh
장사하다;buôn bán
사납다;hung dữ
영리하다;lanh loi 
온순하다 ;hiền lành
흙;đất, thổ dưỡng
